abbreviation	officialName	equation	geneAssociation	proteinClass	ecocyc-rxn-ids	analysis	notes			
F6PA	fructose 6-phosphate aldolase	[c] : f6p <==> dha + g3p	( b0825  or  b3946 )		(RXN0-313)					
CRNCDH	Carnityl-CoA dehydratse	[c] : crncoa <==> ctbtcoa + h2o	b0036		(RXN0-3561)					
CRNBTCT	gamma-butyrobetainyl-CoA: carnitine CoA transferase	[c] : bbtcoa + crn <==> crncoa + gbbtn	b0038		(RXN0-3601)					
CYTDH	Cytidine hydrolase	[c] : cytd + h2o --> csn + rib-D	( b2162  or  b0651  or  b0030 )	3.2.2.8	(RXN0-361)					
XTSNH	Xanthosine hydrolase	[c] : h2o + xtsn --> rib-D + xan	b0030	3.2.2.8	(RXN0-363)					
GGPTRCO	gamma glutamyl putrescine oxidase	[c] : ggptrc + h2o + o2 --> ggbutal + h2o2 + nh4	b1301		(RXN0-3921)					
GGGABAH	gamma-glutamyl-gamma-aminobutyric acid hydrolase	[c] : gg4abut + h2o --> 4abut + glu-L	b1298		(RXN0-3942)					
ALDD2y	"aldehyde dehydrogenase (acetaldehyde, NADP)"	[c] : acald + h2o + nadp --> ac + (2) h + nadph	b3588	1.2.1.4	(RXN0-3962)					
SERt4pp	L-serine via sodium symport (periplasm)	na1[p] + ser-L[p] --> na1[c] + ser-L[c]	b3089		(RXN0-4083)					
S7PI	sedoheptulose 7-phosphate isomerase	[c] : s7p --> gmhep7p	b0222		(RXN0-4301)					
FRULYSE	fructoselysine 3-epimerase	[c] : psclys <==> frulys	b4474		(RXN0-4841)					
PSP_L	phosphoserine phosphatase (L-serine)	[c] : h2o + pser-L --> pi + ser-L	b4388	3.1.3.3	(RXN0-5114)					
DSERt2pp	D-serine transport in via proton symport (periplasm)	h[p] + ser-D[p] --> h[c] + ser-D[c]	b4208		(RXN0-5130)					
MLTG1	Maltodextrin glucosidase (maltotriose)	[c] : h2o + malttr --> glc-D + malt	b0403		(RXN0-5183)					
RNTR3c	ribonucleoside-triphosphate reductase (CTP) (flavodoxin)	[c] : ctp + fldrd --> dctp + fldox + h2o	( ( b2895  and  b4238 )  or  ( b0684  and  b3924  and  b4238  and  b4237 )  or  ( b0684  and  b4238 )  or  ( b2895  and  b3924  and  b4238  and  b4237 ) )		(RXN0-723)					
RNTR4c	ribonucleoside-triphosphate reductase (UTP) (flavodoxin)	[c] : fldrd + utp --> dutp + fldox + h2o	( ( b0684  and  b3924  and  b4238  and  b4237 )  or  ( b2895  and  b4238 )  or  ( b0684  and  b4238 )  or  ( b2895  and  b3924  and  b4238  and  b4237 ) )		(RXN0-724)					
AIRC3	phosphoribosylaminoimidazole carboxylase (mutase rxn)	[c] : 5aizc <==> 5caiz	b0523		(RXN0-743)					
RNTR1c	ribonucleoside-triphosphate reductase (ATP) (flavodoxin)	[c] : atp + fldrd --> datp + fldox + h2o	( ( b2895  and  b3924  and  b4238  and  b4237 )  or  ( b2895  and  b4238 )  or  ( b0684  and  b4238 )  or  ( b0684  and  b3924  and  b4238  and  b4237 ) )		(RXN0-745)					
RNTR2c	ribonucleoside-triphosphate reductase (GTP) (flavodoxin)	[c] : fldrd + gtp --> dgtp + fldox + h2o	( ( b0684  and  b4238 )  or  ( b2895  and  b4238 )  or  ( b2895  and  b3924  and  b4238  and  b4237 )  or  ( b0684  and  b3924  and  b4238  and  b4237 ) )		(RXN0-746)					
XAND	xanthine dehydrogenase	[c] : h2o + nad + xan --> h + nadh + urate	( b2866  and  b2867  and  b2868 )	1.1.1.204	(RXN0-901)					
LADGMDH	L-alanyl-gamma-D-glutamyl-meso-diaminopimelate hydrolase	[c] : LalaDgluMdap + h2o --> 26dap-M + LalaDglu	b1326		(RXN0-961)					
FRULYSDG	Fructoselysine phosphate deglycase	[c] : frulysp + h2o <==> g6p + lys-L	b3371		(RXN0-963)					
FALGTHLs	formaldehyde glutathione ligase (spontaneous)	[c] : fald + gthrd <==> hmgth	s0001		(RXN-2961)					
AACPS9	acyl-[acyl-carrier-protein] synthetase  (n-C8:0)	[c] : ACP + atp + octa --> amp + ocACP + ppi	( b2836  and  b1094 )	6.2.1.20	(RXN-5741)					
NTD11	5'-nucleotidase (IMP)	[c] : h2o + imp --> ins + pi	b2744	3.1.3.5	(RXN-7607)					
NTD9	5'-nucleotidase (GMP)	[c] : gmp + h2o --> gsn + pi	b2744	3.1.3.5	(RXN-7609)					
METAT	methionine adenosyltransferase	[c] : atp + h2o + met-L --> amet + pi + ppi	b2942	2.5.1.6	(S-ADENMETSYN-RXN)					
SERAT	serine O-acetyltransferase	[c] : accoa + ser-L <==> acser + coa	b3607	2.3.1.30	(SERINE-O-ACETTRAN-RXN)					
SERTRS	Seryl-tRNA synthetase	[c] : atp + ser-L + trnaser --> amp + ppi + sertrna	b0893	6.1.1.11	(SERINE--TRNA-LIGASE-RXN)					
SHCHCS2	"2-succinyl-6-hydroxy-2,4-cyclohexadiene 1-carboxylate synthase"	[c] : ichor + ssaltpp --> 2shchc + pyr + thmpp	b2264		(SHCHCSYNTH-RXN)					
SHCHF	sirohydrochlorin ferrochetalase	[c] : fe2 + scl --> (3) h + sheme	b3368		(SIROHEME-FERROCHELAT-RXN)					
SUCOAS	succinyl-CoA synthetase (ADP-forming)	[c] : atp + coa + succ <==> adp + pi + succoa	( b0728  and  b0729 )	6.2.1.5	(SUCCCOASYN-RXN)					
SDPDS	succinyl-diaminopimelate desuccinylase	[c] : h2o + sl26da --> 26dap-LL + succ	b2472	3.5.1.18	(SUCCDIAMINOPIMDESUCC-RXN)					
SGDS	Succinylglutamate desuccinylase	[c] : h2o + sucglu --> glu-L + succ	b1744		(SUCCGLUDESUCC-RXN)					
SDPTA	succinyldiaminopimelate transaminase	[c] : akg + sl26da <==> glu-L + sl2a6o	b3359	2.6.1.17	(SUCCINYLDIAMINOPIMTRANS-RXN)					
SOTA	Succinylornithine transaminase	[c] : akg + sucorn --> glu-L + sucgsa	b1748		(SUCCORNTRANSAM-RXN)					
SPODM	superoxide dismutase	[c] : (2) h + (2) o2s --> h2o2 + o2	( b3908  or  b1656 )	1.15.1.1	(SUPEROX-DISMUT-RXN)					
TGBPA	Tagatose-bisphosphate aldolase	[c] : tagdp-D <==> dhap + g3p	( ( b3132  and  b3137 )  or  ( b2095  and  b2096 ) )	4.1.2.40	(TAGAALDOL-RXN)					
THDPS	tetrahydrodipicolinate succinylase	[c] : h2o + succoa + thdp --> coa + sl2a6o	b0166	2.3.1.117	(TETHYDPICSUCC-RXN)					
TMPK	thiamine-phosphate kinase	[c] : atp + thmmp --> adp + thmpp	b0417	2.7.4.16	(THI-P-KIN-RXN)					
THRTRS	Threonyl-tRNA synthetase	[c] : atp + thr-L + trnathr --> amp + ppi + thrtrna	b1719	6.1.1.3	(THREONINE--TRNA-LIGASE-RXN)					
THRS	threonine synthase	[c] : h2o + phom --> pi + thr-L	b0004	4.2.3.1	(THRESYN-RXN)					
TMDS	thymidylate synthase	[c] : dump + mlthf --> dhf + dtmp	b2827	2.1.1.45	(THYMIDYLATESYN-RXN)					
TMDPP	thymidine phosphorylase	[c] : pi + thymd <==> 2dr1p + thym	b4382	2.4.2.4	(THYM-PHOSPH-RXN)					
T2DECAI	trans-2-decenoyl-ACP isomerase	[c] : tdec2eACP <==> cdec3eACP	b0954		(TRANS-2-DECENOYL-ACP-ISOM-RXN)					
TALA	transaldolase	[c] : g3p + s7p <==> e4p + f6p	( b2464  or  b0008 )	2.2.1.2	(TRANSALDOL-RXN)					
FORtppi	formate transport via diffusion (cytoplasm to periplasm)	for[c] --> for[p]	( b0904  or  b2492 )		(TRANS-RXN-1)					
ARBt2rpp	L-arabinose transport via proton symport (periplasm)	arab-L[p] + h[p] <==> arab-L[c] + h[c]	b2841		(TRANS-RXN-10)					
CRNt7pp	Carnitine/butyrobetaine antiporter (periplasm)	crn[p] + gbbtn[c] --> crn[c] + gbbtn[p]	b0040		(TRANS-RXN-100)					
L-LACt2rpp	L-lactate reversible transport via proton symport (periplasm)	h[p] + lac-L[p] <==> h[c] + lac-L[c]	( b3603  or  b2975 )		(TRANS-RXN-104)					
GLYCLTt2rpp	"glycolate transport via proton symport, reversible (periplasm)"	glyclt[p] + h[p] <==> glyclt[c] + h[c]	( b3603  or  b2975 )		(TRANS-RXN-105)					
ADNt2pp	adenosine transport in via proton symport (periplasm)	adn[p] + h[p] --> adn[c] + h[c]	( b2964  or  b2393 )		(TRANS-RXN-108A)					
ADNt2rpp	"adenosine transport in via proton symport, reversible (periplasm)"	adn[p] + h[p] <==> adn[c] + h[c]	b2406		(TRANS-RXN-108A)					
CYTDt2pp	cytidine transport in via proton symport (periplasm)	cytd[p] + h[p] --> cytd[c] + h[c]	( b2393  or  b2964 )		(TRANS-RXN-108B)					
CYTDt2rpp	"cytidine transport in via proton symport, reversible (periplasm)"	cytd[p] + h[p] <==> cytd[c] + h[c]	b2406		(TRANS-RXN-108B)					
DADNt2pp	deoxyadenosine transport in via proton symport (periplasm)	dad-2[p] + h[p] --> dad-2[c] + h[c]	( b2393  or  b2964 )		(TRANS-RXN-108C)					
DCYTt2pp	deoxycytidine transport in via proton symport (periplasm)	dcyt[p] + h[p] --> dcyt[c] + h[c]	( b2393  or  b2964 )		(TRANS-RXN-108D)					
DINSt2pp	deoxyinosine transport in via proton symport (periplasm)	din[p] + h[p] --> din[c] + h[c]	b2964		(TRANS-RXN-108E)					
DURIt2pp	deoxyuridine transport in via proton symport (periplasm)	duri[p] + h[p] --> duri[c] + h[c]	( b2393  or  b2964 )		(TRANS-RXN-108F)					
INSt2pp	inosine transport in via proton symport (periplasm)	h[p] + ins[p] --> h[c] + ins[c]	b2964		(TRANS-RXN-108G)					
INSt2rpp	"inosine transport in via proton symport, reversible (periplasm)"	h[p] + ins[p] <==> h[c] + ins[c]	b2406		(TRANS-RXN-108G)					
THMDt2pp	thymidine transport in via proton symport (periplasm)	h[p] + thymd[p] --> h[c] + thymd[c]	( b2393  or  b2964 )		(TRANS-RXN-108H)					
THMDt2rpp	"thymidine transport in via proton symport, reversible (periplasm)"	h[p] + thymd[p] <==> h[c] + thymd[c]	b2406		(TRANS-RXN-108H)					
URIt2pp	uridine transport in via proton symport (periplasm)	h[p] + uri[p] --> h[c] + uri[c]	( b2393  or  b2964 )		(TRANS-RXN-108I)					
URIt2rpp	"uridine transport in via proton symport, reversible (periplasm)"	h[p] + uri[p] <==> h[c] + uri[c]	b2406		(TRANS-RXN-108I)					
RMNtpp	L-rhamnose transport via proton symport (periplasm)	h[p] + rmn[p] --> h[c] + rmn[c]	b3907		(TRANS-RXN-112)					
DDGLCNt2rpp	"2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible (periplasm)"	2ddglcn[p] + h[p] <==> 2ddglcn[c] + h[c]	b3909		(TRANS-RXN-113)					
PIt2rpp	phosphate reversible transport via symport (periplasm)	h[p] + pi[p] <==> h[c] + pi[c]	( b2987  or  b3493 )		(TRANS-RXN-114)					
CSNt2pp	cytosine transport in via proton symport (periplasm)	csn[p] + h[p] --> csn[c] + h[c]	b0336		(TRANS-RXN-116)					
PNTOt4pp	Pantothenate sodium symporter (periplasm)	na1[p] + pnto-R[p] --> na1[c] + pnto-R[c]	b3258		(TRANS-RXN-117)					
PROt4pp	Na+/Proline-L symporter (periplasm)	na1[p] + pro-L[p] --> na1[c] + pro-L[c]	b1015		(TRANS-RXN-118)					
SUCCt2_2pp	succinate transport via proton symport (2 H) (periplasm)	(2) h[p] + succ[p] --> (2) h[c] + succ[c]	b3528		(TRANS-RXN-121)					
SUCCt2_3pp	Succintate transport via proton symport (3 H) (periplasm)	(3) h[p] + succ[p] --> (3) h[c] + succ[c]	( b4123  or  b4138 )		(TRANS-RXN-121)					
MALt2_2pp	Malate transport via proton symport (2 H) (periplasm)	(2) h[p] + mal-L[p] --> (2) h[c] + mal-L[c]	b3528		(TRANS-RXN-121A)					
MALt2_3pp	Malate transport via proton symport (3 H) (periplasm)	(3) h[p] + mal-L[p] --> (3) h[c] + mal-L[c]	( b4138  or  b4123 )		(TRANS-RXN-121A)					
FUMt2_2pp	Fumarate transport via proton symport (2 H) (periplasm)	fum[p] + (2) h[p] --> fum[c] + (2) h[c]	b3528		(TRANS-RXN-121B TRANS-RXN-202)					
FUMt2_3pp	Fumarate transport via proton symport (3 H) (periplasm)	fum[p] + (3) h[p] --> fum[c] + (3) h[c]	( b4138  or  b4123  or  b0621 )		(TRANS-RXN-121B TRANS-RXN-202)					
OROTt2_2pp	Orotate transport via proton symport (2 H) (periplasm)	(2) h[p] + orot[p] --> (2) h[c] + orot[c]	b3528		(TRANS-RXN-121C)					
GLUt4pp	Na+/glutamate symport (periplasm)	glu-L[p] + na1[p] --> glu-L[c] + na1[c]	b3653		(TRANS-RXN-122)					
ASPt2_2pp	Aspartate transport via proton symport (2 H) (periplasm)	asp-L[p] + (2) h[p] --> asp-L[c] + (2) h[c]	b3528		(TRANS-RXN-122A)					
ASPt2_3pp	L-asparate transport via proton symport (3 H) (periplasm)	asp-L[p] + (3) h[p] --> asp-L[c] + (3) h[c]	( b4138  or  b4123 )		(TRANS-RXN-122A)					
ASPt2pp	L-aspartate transport in via proton symport (periplasm)	asp-L[p] + h[p] --> asp-L[c] + h[c]	b4077		(TRANS-RXN-122A)					
GALURt2rpp	"D-galacturonate transport via proton symport, reversible (periplasm)"	galur[p] + h[p] <==> galur[c] + h[c]	b3093		(TRANS-RXN-123)					
ALAt4pp	L-alanine transport in via sodium symport (periplasm)	ala-L[p] + na1[p] --> ala-L[c] + na1[c]	b0007		(TRANS-RXN-125)					
TARTRt7pp	Tartrate/succinate antiporter (periplasm)	succ[c] + tartr-L[p] <==> succ[p] + tartr-L[c]	b3063		(TRANS-RXN-127)					
CAt6pp	calcium / sodium antiporter (1:1)	ca2[c] + na1[p] <==> ca2[p] + na1[c]	b3196		(TRANS-RXN-128)					
NAt3_1p5pp	sodium proton antiporter (H:NA is 1.5) (periplasm)	(3) h[p] + (2) na1[c] --> (3) h[c] + (2) na1[p]	b1186		(TRANS-RXN-129 TRANS-RXN-101 TRANS-RXN-130)					
NAt3_2pp	sodium proton antiporter (H:NA is 2) (periplasm)	(2) h[p] + na1[c] --> (2) h[c] + na1[p]	b0019		(TRANS-RXN-129 TRANS-RXN-101 TRANS-RXN-130)					
NAt3pp	sodium transport out via proton antiport (cytoplasm to periplasm)	h[p] + na1[c] --> h[c] + na1[p]	( b0842  or  b1216 )		(TRANS-RXN-129 TRANS-RXN-101 TRANS-RXN-130)					
GLYCtpp	glycerol transport via channel (periplasm)	glyc[c] <==> glyc[p]	( b3927  or  s0001 )		(TRANS-RXN-131)					
URAt2pp	uracil transport in via proton symport (periplasm)	h[p] + ura[p] --> h[c] + ura[c]	b2497		(TRANS-RXN-132)					
URAt2rpp	"uracil transport in via proton symport, reversible (periplasm)"	h[p] + ura[p] <==> h[c] + ura[c]	b1006		(TRANS-RXN-132)					
NO2t2rpp	"nitrite transport in via proton symport, reversible (periplasm)"	h[p] + no2[p] <==> h[c] + no2[c]	( b3367  or  b1223 )		(TRANS-RXN-137)					
CYNTt2pp	Cyanate transport via proton symport (periplasm)	cynt[p] + h[p] --> cynt[c] + h[c]	b0341		(TRANS-RXN-14)					
MG2tpp	magnesium (+2) transport in via diffusion	mg2[p] --> mg2[c]	b3816		(TRANS-RXN-141)					
COBALT2tpp	cobalt transport in via permease (no H+)	cobalt2[p] --> cobalt2[c]	( b3040  or  b3816 )		(TRANS-RXN-141A)					
NI2tpp	nickel (+2) transport in via permease (no H+)	ni2[p] --> ni2[c]	b3816		(TRANS-RXN-141B)					
INDOLEt2pp	"Indole transport via proton symport, irreversible (periplasm)"	h[c] + indole[c] --> h[p] + indole[p]	( b3265  and  b3266 )		(TRANS-RXN-142)					
INDOLEt2rpp	"Indole transport via proton symport, reversible (periplasm)"	h[p] + indole[p] <==> h[c] + indole[c]	b3161		(TRANS-RXN-142)					
CA2t3pp	calcium (Ca+2) transport out via proton antiport (periplasm)	ca2[c] + h[p] --> ca2[p] + h[c]	b1216		(TRANS-RXN-144)					
H2Otpp	H2O transport via diffusion (periplasm)	h2o[p] <==> h2o[c]	( b0875  or  s0001 )		(TRANS-RXN-145)					
MNLptspp	mannitol transport via PEP:Pyr PTS (periplasm)	mnl[p] + pep[c] --> mnl1p[c] + pyr[c]	( b3599  and  b2415  and  b2416 )		(TRANS-RXN-156)					
GLCptspp	D-glucose transport via PEP:Pyr PTS (periplasm)	glc-D[p] + pep[c] --> g6p[c] + pyr[c]	( ( b2417  and  b1101  and  b2415  and  b2416 )  or  ( b1817  and  b1818  and  b1819  and  b2415  and  b2416 )  or  ( b2417  and  b1621  and  b2415  and  b2416 ) )		(TRANS-RXN-157)					
FRUptspp	D-fructose transport via PEP:Pyr PTS (periplasm)	fru[p] + pep[c] --> f1p[c] + pyr[c]	( b2167  and  b2169  and  b2415  and  b2416 )		(TRANS-RXN-158)					
FRUpts2pp	Fructose transport via PEP:Pyr PTS (f6p generating) (periplasm)	fru[p] + pep[c] --> f6p[c] + pyr[c]	( b1817  and  b1818  and  b1819  and  b2415  and  b2416 )		(TRANS-RXN-158A)					
GALCTNt2pp	D-galactonate transport via proton symport (periplasm)	galctn-D[p] + h[p] --> galctn-D[c] + h[c]	b3691		(TRANS-RXN-16)					
GALTptspp	Galactitol transport via PEP:Pyr PTS (periplasm)	galt[p] + pep[c] --> galt1p[c] + pyr[c]	( b2094  and  b2093  and  b2092  and  b2415  and  b2416 )		(TRANS-RXN-161)					
GLUt2rpp	"L-glutamate transport via proton symport, reversible (periplasm)"	glu-L[p] + h[p] <==> glu-L[c] + h[c]	b4077		(TRANS-RXN-162)					
MANptspp	D-mannose transport via PEP:Pyr PTS (periplasm)	man[p] + pep[c] --> man6p[c] + pyr[c]	( b1817  and  b1818  and  b1819  and  b2415  and  b2416 )		(TRANS-RXN-165)					
ACGAptspp	N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm)	acgam[p] + pep[c] --> acgam6p[c] + pyr[c]	( ( b2417  and  b1101  and  b2415  and  b2416 )  or  ( b0679  and  b2415  and  b2416 ) )		(TRANS-RXN-167)					
GAMptspp	D-glucosamine transport via PEP:Pyr PTS (periplasm)	gam[p] + pep[c] --> gam6p[c] + pyr[c]	( b1817  and  b1818  and  b1819  and  b2415  and  b2416 )		(TRANS-RXN-167A)					
TREptspp	trehalose transport via PEP:Pyr PTS (periplasm)	pep[c] + tre[p] --> pyr[c] + tre6p[c]	( b2417  and  b2415  and  b2416  and  b4240 )		(TRANS-RXN-168)					
SBTptspp	D-sorbitol transport via PEP:Pyr PTS (periplasm)	pep[c] + sbt-D[p] --> pyr[c] + sbt6p[c]	( b2415  and  b2416  and  b2702  and  b2704  and  b2703 )		(TRANS-RXN-169)					
IDONt2rpp	"L-idonate transport via proton symport, reversible (periplasm)"	h[p] + idon-L[p] <==> h[c] + idon-L[c]	b4265		(TRANS-RXN-181)					
FUCtpp	L-fucose transport via proton symport (periplasm)	fuc-L[p] + h[p] <==> fuc-L[c] + h[c]	b2801		(TRANS-RXN-20)					
ZN2t3pp	zinc (Zn+2) transport out via proton antiport (periplasm)	h[p] + zn2[c] --> h[c] + zn2[p]	( b0752  or  b3915 )		(TRANS-RXN-200)					
CITt7pp	Citrate transport via succinate antiport (periplasm)	cit[p] + succ[c] --> cit[c] + succ[p]	b0612		(TRANS-RXN-201)					
SUCFUMtpp	succinate:fumarate antiporter (periplasm)	fum[p] + succ[c] <==> fum[c] + succ[p]	( b4138  or  b4123  or  b0621 )		(TRANS-RXN-202A)					
GALt2pp	D-galactose transport in via proton symport (periplasm)	gal[p] + h[p] --> gal[c] + h[c]	b2943		(TRANS-RXN-21)					
AKGt2rpp	2-oxoglutarate reversible transport via symport (periplasm)	akg[p] + h[p] <==> akg[c] + h[c]	b2587		(TRANS-RXN-23)					
LCTStpp	Lactose transport via proton symport (periplasm)	h[p] + lcts[p] <==> h[c] + lcts[c]	b0343		(TRANS-RXN-24)					
MNt2pp	manganese (Mn+2) transport in via proton symport (periplasm)	h[p] + mn2[p] --> h[c] + mn2[c]	b2392		(TRANS-RXN-241)					
HOMt2pp	L-homoserineserine efflux via proton symport	h[p] + hom-L[c] --> h[c] + hom-L[p]	( b0813  or  b3824 )		(TRANS-RXN-242)					
THRt2pp	L-threonine efflux transport via proton antiport (periplasm)	h[p] + thr-L[c] --> h[c] + thr-L[p]	( b0813  or  b3823 )		(TRANS-RXN-244)					
ACNAMt2pp	N-acetylneuraminate proton symport (periplasm)	acnam[p] + h[p] --> acnam[c] + h[c]	b3224		(TRANS-RXN-25)					
GLUABUTt7pp	4-aminobutyrate/glutamate antiport (periplasm)	4abut[c] + glu-L[p] <==> 4abut[p] + glu-L[c]	b1492		(TRANS-RXN-261)					
ASNt2rpp	L-asparagine reversible transport via proton symport (periplasm)	asn-L[p] + h[p] <==> asn-L[c] + h[c]	b1453		(TRANS-RXN-262)					
SKMt2pp	shikimate transport in via proton symport (periplasm)	h[p] + skm[p] --> h[c] + skm[c]	b1981		(TRANS-RXN-27)					
PROt2rpp	L-proline reversible transport via proton symport (periplasm)	h[p] + pro-L[p] <==> h[c] + pro-L[c]	b4111		(TRANS-RXN-29)					
GLYBt2pp	Glycine betaine transport via proton symport (periplasm)	glyb[p] + h[p] --> glyb[c] + h[c]	b1801		(TRANS-RXN-29A)					
Kt2pp	potassium transport in via proton symport (periplasm)	h[p] + k[p] --> h[c] + k[c]	( b1250  or  ( b1291  and  b3290  and  b1363 )  or  b3747  or  ( b1291  and  b3290  and  b3849 ) )		(TRANS-RXN-3)					
XYLt2pp	D-xylose transport in via proton symport (periplasm)	h[p] + xyl-D[p] --> h[c] + xyl-D[c]	b4031		(TRANS-RXN-30)					
XTSNt2rpp	Xanthosine transport via proton symport (periplasm)	h[p] + xtsn[p] <==> h[c] + xtsn[c]	b2406		(TRANS-RXN-31)					
GLCURt2rpp	"D-glucuronate transport via proton symport, reversible (periplasm)"	glcur[p] + h[p] <==> glcur[c] + h[c]	( b3909  or  b3093 )		(TRANS-RXN-35)					
ARBt3ipp	L-arabinose transport via proton antiport (periplasm)	arab-L[c] + h[p] --> arab-L[p] + h[c]	b1528		(TRANS-RXN-40)					
Kt3pp	potassium transport out via proton antiport (periplasm)	h[p] + k[c] --> h[c] + k[p]	( b1216  or  b0842  or  b3350  or  b0047 )		(TRANS-RXN-42)					
PHEt2rpp	L-phenylalanine reversible transport via proton symport (periplasm)	h[p] + phe-L[p] <==> h[c] + phe-L[c]	( b0576  or  b0112 )		(TRANS-RXN-56)					
ABUTt2pp	4-aminobutyrate transport in via proton symport (periplasm)	4abut[p] + h[p] --> 4abut[c] + h[c]	b2663		(TRANS-RXN-57)					
LYSt2pp	L-lysine transport in via proton symport (periplasm)	h[p] + lys-L[p] --> h[c] + lys-L[c]	b2156		(TRANS-RXN-58)					
HPPPNt2rpp	"3-(3-hydroxyphenyl)propionate transport via proton symport, reversible (periplasm)"	3hpppn[p] + h[p] <==> 3hpppn[c] + h[c]	b0353		(TRANS-RXN-61)					
DALAt2pp	D-alanine transport in via proton symport (periplasm)	ala-D[p] + h[p] --> ala-D[c] + h[c]	b4208		(TRANS-RXN-62A)					
GLYt2pp	glycine transport in via proton symport (periplasm)	gly[p] + h[p] --> gly[c] + h[c]	( b1801  or  b4208 )		(TRANS-RXN-62B)					
PTRCt2pp	putrescine transport in via proton symport	h[p] + ptrc[p] --> h[c] + ptrc[c]	( b1296  or  b0692 )		(TRANS-RXN-69)					
SERt2rpp	L-serine reversible transport via proton symport (periplasm)	h[p] + ser-L[p] <==> h[c] + ser-L[c]	( b2796  or  b3116 )		(TRANS-RXN-71)					
THRt2rpp	L-threonine reversible transport via proton symport (periplasm)	h[p] + thr-L[p] <==> h[c] + thr-L[c]	b3116		(TRANS-RXN-72)					
TRPt2rpp	L-tryptophan reversible transport via proton symport (periplasm)	h[p] + trp-L[p] <==> h[c] + trp-L[c]	( b0112  or  b3161  or  b3709 )		(TRANS-RXN-76)					
TYRt2rpp	L-tyrosine reversible transport via proton symport (periplasm)	h[p] + tyr-L[p] <==> h[c] + tyr-L[c]	( b1907  or  b0112  or  b0576 )		(TRANS-RXN-77)					
FE2tpp	iron (+2) transport in via permease (no H+)	fe2[p] --> fe2[c]	b3040		(TRANS-RXN-8)					
FRUURt2rpp	"D-fructuronate transport via proton symport, reversible (periplasm)"	fruur[p] + h[p] <==> fruur[c] + h[c]	b4321		(TRANS-RXN-81)					
LCTSt3ipp	Lactose transport via proton aniport (periplasm)	h[p] + lcts[c] --> h[c] + lcts[p]	( b2170  or  b0070  or  b1528 )		(TRANS-RXN-82)					
NMNPtpp	NMN permease (periplasm)	nmn[p] --> nmn[c]	b0751		(TRANS-RXN-9)					
MELIBt2pp	melibiose transport in via symport (periplasm)	h[p] + melib[p] --> h[c] + melib[c]	b4120		(TRANS-RXN-94)					
CHLt2pp	choline transport via proton symport (periplasm)	chol[p] + h[p] --> chol[c] + h[c]	( b0314  or  b1801 )		(TRANS-RXN-99)					
TRE6PH	trehalose-6-phosphate hydrolase	[c] : h2o + tre6p --> g6p + glc-D	b4239	3.2.1.93	(TRE6PHYDRO-RXN)					
TREH	"alpha,alpha-trehalase"	[c] : h2o + tre --> (2) glc-D	b3519	3.2.1.28	(TREHALA-RXN)					
TRE6PP	trehalose-phosphatase	[c] : h2o + tre6p --> pi + tre	b1897	3.1.3.12	(TREHALOSEPHOSPHA-RXN)					
TPI	triose-phosphate isomerase	[c] : dhap <==> g3p	b3919	5.3.1.1	(TRIOSEPISOMERIZATION-RXN)					
TRPS1	tryptophan synthase (indoleglycerol phosphate)	[c] : 3ig3p + ser-L --> g3p + h2o + trp-L	( b1260  and  b1261 )	4.2.1.20	(TRYPSYN-RXN)					
TRPTRS	Tryptophanyl-tRNA synthetase	[c] : atp + trnatrp + trp-L --> amp + ppi + trptrna	b3384	6.1.1.2	(TRYPTOPHAN--TRNA-LIGASE-RXN)					
TYRTA	tyrosine transaminase	[c] : akg + tyr-L <==> 34hpp + glu-L	( b4054  or  b0928 )	2.6.1.5	(TYRAMINOTRANS-RXN)					
TYRTRS	tyrosyl-tRNA synthetase	[c] : atp + trnatyr + tyr-L --> amp + ppi + tyrtrna	b1637	6.1.1.1	(TYROSINE--TRNA-LIGASE-RXN)					
UHGADA	UDP-3-O-acetylglucosamine deacetylase	[c] : h2o + u3aga --> ac + u3hga	b0096		(UDPACYLGLCNACDEACETYL-RXN)					
UAG2E	UDP-N-acetylglucosamine 2-epimerase	[c] : uacgam <==> uacmam	b3786	5.1.3.14	(UDPGLCNACEPIM-RXN)					
UDPG4E	UDPglucose 4-epimerase	[c] : udpg <==> udpgal	b0759	5.1.3.2	(UDPGLUCEPIM-RXN)					
NDPK2	nucleoside-diphosphate kinase (ATP:UDP)	[c] : atp + udp <==> adp + utp	( b0474  or  b2518 )	2.7.4.6	(UDPKIN-RXN)					
UACMAMO	UDP-N-acetyl-D-mannosamine oxidoreductase	[c] : h2o + (2) nad + uacmam --> (3) h + (2) nadh + uacmamu	b3787		(UDPMANNACADEHYDROG-RXN)					
UAGAAT	UDP-N-acetylglucosamine acyltransferase	[c] : 3hmrsACP + uacgam <==> ACP + u3aga	( b1094  and  b0181 )	2.3.1.129	(UDPNACETYLGLUCOSAMACYLTRANS-RXN)					
UAGCVT	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	[c] : pep + uacgam --> pi + uaccg	b3189	2.5.1.7	(UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN)					
UMPK	UMP kinase	[c] : atp + ump <==> adp + udp	( b0910  or  b0171 )	2.7.4.14	(UMPKI-RXN)					
